,DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,price_change
count,672,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0,672.0
mean,2025-02-27 12:00:00,31432.471726190477,-0.06994047619047619,3.0,6.877976190476191,27.952380952380953,31501.33524654762,31584.456313645835,635.4287470384539,-163.67261904761904,31453.30505952381,31477.102678571428,31500.900297619046,31596.144345238095,31762.821428571428,10.338962480520834,-20.833333333333332
min,2024-03-29 00:00:00,23998.0,-1.0,0.0,1.0,1.0,23998.0,23998.07143,0.0,-10000.0,23998.0,23998.0,23998.0,23998.0,23998.0,10.08576744,-6000.0
25%,2024-09-12 18:00:00,25999.0,0.0,1.0,4.0,16.75,25999.0,25999.0,0.53452252,-858.25,25999.0,25999.0,25999.0,25999.0,25999.0,10.16585182,0.0
50%,2025-02-27 12:00:00,32165.0,0.0,3.0,7.0,28.5,32217.714285000002,32386.25,412.79836609999995,0.0,32170.0,32180.0,32210.0,32309.5,32385.0,10.37866526,0.0
75%,2025-08-14 06:00:00,36499.25,0.0,5.0,10.0,40.25,36702.5357125,37053.0714275,975.9000729,441.0,36500.0,36545.0,36685.0,36762.25,36999.0,10.50507439,0.0
max,2026-01-29 00:00:00,39999.0,1.0,6.0,12.0,52.0,39999.0,39999.0,3437.218324,6500.0,39999.0,39999.0,39999.0,39999.0,39999.0,10.59663473,5300.0
std,,5698.279912695751,0.587643247740983,2.001489758120908,3.36812313079131,14.712671636797134,5639.966749601955,5618.243934456776,702.8266916613358,1713.3734758145188,5703.974804989107,5706.183861581107,5708.292705094423,5715.806919471942,5725.115973753121,0.18344696065688923,1013.4278753907337
