,DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,price_change
count,479,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0
mean,2025-06-10 00:00:00,56258.60334029228,-0.027139874739039668,2.987473903966597,6.895615866388309,27.94989561586639,56302.38830908142,56345.269162025055,984.0760105694781,-102.16492693110648,56273.19832985386,56287.79331941545,56302.38830897704,56360.76826722338,56421.17954070981,10.93660666302714,-14.594989561586639
min,2024-10-14 00:00:00,48999.0,-1.0,0.0,1.0,1.0,48999.0,48999.0,0.0,-17500.0,48999.0,48999.0,48999.0,48999.0,48999.0,10.79957558,-17500.0
25%,2025-02-10 12:00:00,54990.0,0.0,1.0,3.0,12.0,54990.0,55170.607145,0.0,-991.0,54990.0,54990.0,54990.0,54990.0,54990.0,10.91492481,0.0
50%,2025-06-10 00:00:00,55990.0,0.0,3.0,7.0,29.0,56112.28571,56086.42857,529.7117815,0.0,55990.0,55990.0,55990.0,55990.0,55990.0,10.93294624,0.0
75%,2025-10-07 12:00:00,57990.0,0.0,5.0,11.0,44.0,57847.14286,57685.64286,1463.850109,91.0,57990.0,57990.0,57990.0,57990.0,57990.0,10.96804311,0.0
max,2026-02-04 00:00:00,72490.0,1.0,6.0,12.0,52.0,64996.42857,60242.57143,7488.125476,19494.0,72490.0,72490.0,72490.0,72490.0,72490.0,11.1912177,18091.0
std,,2702.1312224958924,0.4354749766513846,2.003096370603338,3.840104599266043,16.791410280083745,2080.5688710308677,1694.5528837596505,1452.6414920837642,3242.8373165892144,2681.6404912257167,2660.9117584136575,2639.9394177206827,2553.4928852077937,2429.50451091051,0.04728671477096126,1896.1207808416887
