,DATE,LISTED PRICE,PRICE TREND,day_of_week,month,week_of_year,MA_7,MA_14,volatility_7,momentum_7,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,log_price,price_change
count,1103,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0,1103.0
mean,2024-08-07 00:00:00,101745.53127833182,-0.003626473254759746,3.00271985494107,6.493200362647325,26.29374433363554,101866.77334568449,101957.01618945604,999.0250223306626,-257.95104261106076,101787.24478694469,101835.75793291024,101873.38259292838,102003.48232094289,102105.93019038984,11.525669985022663,-41.71350861287398
min,2023-02-03 00:00:00,62490.0,-1.0,0.0,1.0,1.0,66775.71429,69997.71429,0.0,-39248.0,62490.0,62490.0,62490.0,69990.0,69990.0,11.04277783,-39248.0
25%,2023-11-05 12:00:00,99990.0,0.0,1.0,3.0,13.0,99990.0,100562.0714,0.0,0.0,99990.0,99990.0,99990.0,99990.0,99999.0,11.51283546,0.0
50%,2024-08-07 00:00:00,104999.0,0.0,3.0,7.0,26.0,104999.0,104999.0,0.0,0.0,104999.0,104999.0,104999.0,104999.0,104999.0,11.56171563,0.0
75%,2025-05-09 12:00:00,107999.0,0.0,5.0,9.5,39.0,107999.0,107999.0,0.0,0.0,107999.0,107999.0,107999.0,107999.0,107999.0,11.58988651,0.0
max,2026-02-09 00:00:00,119238.0,1.0,6.0,12.0,52.0,119238.0,115167.1429,20978.93845,26000.0,119238.0,119238.0,119238.0,119238.0,119238.0,11.68888516,25000.0
std,,9164.057210525129,0.24096278094981394,2.0024920591243,3.4582942989288084,15.080992075876562,8592.608970162062,8150.215478229153,2645.4443725049323,6027.803832188244,9124.00733112926,9056.882594103947,8979.149040141208,8743.544642533469,8671.280890757187,0.09868693268189148,2758.4147383681066
